id,问题,文档,相关页,Hit@1,Hit@2,Hit@3,"检索top1(文件-页,得分)",检索top2,检索top3,模型回答
Q001,在工作区、4层空中花园、卫生间内吸烟会有什么处罚？,员工手册 v2.2.pdf,手册-P04,1,1,1,手册-P04(0.56),纪律-P04(0.54),纪律-P01(0.54),根据公司规定，在工作区、4层空中花园、卫生间内禁止吸烟，违者将被罚款 100 元/次 [1]。  另外提示：公司指定的吸烟区在 3 号通道口外，吸烟结束后请注意做好防火措施 [1]。
Q002,公司把雨伞存放区设置在哪里？,员工手册 v2.2.pdf,手册-P04,1,1,1,手册-P04(0.61),手册-P06(0.52),手册-P02(0.51),公司在 4 楼电梯出口处设置了雨伞存放区，员工进入办公区时应将雨伞整齐放入指定的存放箱内，以免雨水弄湿办公环境 [1]。
Q003,厨余垃圾应统一丢在哪里？,员工手册 v2.2.pdf,手册-P05,1,1,1,手册-P04(0.38),手册-P03(0.29),手册-P06(0.27),根据公司规定，厨余垃圾应统一丢至 **2号通道口**，禁止丢在场内垃圾桶里 [1]。
Q004,货梯的用途是什么？,员工手册 v2.2.pdf,手册-P05,0,1,1,手册-P06(0.34),手册-P04(0.34),手册-P02(0.31),根据公司规定，货梯主要用于设备等重货运输，禁止用于上下班及其他私人用途 [1]。
Q005,公司访客分为哪几类？,员工手册 v2.2.pdf,手册-P05,1,1,1,手册-P04(0.62),手册-P02(0.51),手册-P03(0.50),根据手册，公司访客分为三类 [1]：  1. **重要访客**：公司高层来访客人；公司重要客户，政府职能部门领导。 2. **一般性访客**：即洽公、维修、应聘等人员。 3. **其他访客**：广告推销者；蓄意滋事者。  有客人来访时，前台人员应先咨询客人，确定其属于哪一类别 [1]。
Q006,员工亲属来访应在哪里接待？,员工手册 v2.2.pdf,手册-P05,1,1,1,手册-P04(0.59),手册-P02(0.55),手册-P06(0.50),员工亲属来访时，受访人不得带来访人到办公区域，一律在 **8楼第一间接待室** 接待。[1]
Q007,遇有电器着火应如何处理？,员工手册 v2.2.pdf,手册-P06,1,1,1,手册-P06(0.46),手册-P04(0.45),手册-P02(0.40),根据手册规定，遇有电器着火时，应**先切断电源再救火，同时报警**。如有人触电，应立即设法使其脱离电源，并采取正确的方法进行施救 [1]。  此外，日常使用电脑等办公设备时，如发生打火、异味、高热、怪声等异常情况，必须立即停止操作、关闭电源，并及时找电工检查、修理，确认能安全运行后才能继续使用 [1]。
Q008,火灾逃生时人员疏散应遵循什么顺序？,员工手册 v2.2.pdf,手册-P06,1,1,1,手册-P06(0.48),手册-P04(0.46),手册-P02(0.45),根据文档规定，员工疏散应先从事故点（层）开始，再疏散以上各层，最后是下层，以安全逃生到地面为主要目标；同时应优先安排事故威胁严重及危险区域内的人员疏散 [1]。
Q009,逃生过程中为什么禁止使用普通电梯？,员工手册 v2.2.pdf,手册-P06,0,1,1,手册-P04(0.49),手册-P06(0.46),手册-P28(0.40),根据手册规定，逃生过程中禁止使用普通电梯运载人员，主要是防止以下风险：一是电梯中途停电导致被困，二是烟火可能窜入电梯，三是电梯井可能成为火势蔓延的通道，从而引起事故发生 [1]。因此逃生时应注意观察安全疏散标志，按其指引方向尽快撤离事故现场 [1]。
Q010,公司录用结果受什么因素决定？,员工手册 v2.2.pdf,手册-P07,0,1,1,手册-P08(0.45),手册-P06(0.44),绩效-P04(0.43),根据公司制度，录用结果不受国籍、民族、性别、信仰等非能力因素决定，而是对应聘人员进行全面考察，平等竞争，比较后录用最适合的应聘者 [1]。
